id,dateTime,dateHuman,temperature,humidity,pressure
21,1589283902,2020.05.12.07.45.02,68.94,49.64,101148.2
20,1589283887,2020.05.12.07.44.47,68.94,49.43,101150.9
19,1589283885,2020.05.12.07.44.45,68.94,49.59,101145.5
18,1589283883,2020.05.12.07.44.43,68.94,49.61,101149
17,1589282944,2020.05.12.07.29.04,69.13,48.51,101142.9
16,1589282942,2020.05.12.07.29.02,69.15,48.53,101146.4
15,1589282940,2020.05.12.07.29.00,69.17,48.65,101144.5
14,1589282938,2020.05.12.07.28.58,69.15,48.76,101143.7
13,1589282936,2020.05.12.07.28.56,69.15,48.92,101146.4
12,1589282933,2020.05.12.07.28.53,69.15,48.92,101146.4
11,1589282931,2020.05.12.07.28.51,69.13,48.9,101148.3
10,1589282929,2020.05.12.07.28.49,69.13,48.88,101142.9
9,1589282927,2020.05.12.07.28.47,69.15,48.86,101146.4
8,1589282925,2020.05.12.07.28.45,69.17,48.85,101144.5
7,1589282923,2020.05.12.07.28.43,69.17,48.54,101144.5
6,1589282920,2020.05.12.07.28.40,69.17,48.84,101144.5
5,1589282918,2020.05.12.07.28.38,69.13,48.51,101148.3
4,1589282916,2020.05.12.07.28.36,69.13,48.75,101148.3
3,1589282912,2020.05.12.07.28.32,69.17,48.82,101144.5
2,1589282910,2020.05.12.07.28.30,69.17,48.88,101147.2
1,1589282908,2020.05.12.07.28.28,69.17,48.96,101141.8
